fieldId,fieldName,tooltipText
,Καταργούμενες διατάξεις,Αναγράφονται οι καταργούμενες διατάξεις  
,Η. Έκθεση εφαρμογής της ρύθμισης,
,31.Συναρμοδιότητα Υπουργείων / υπηρεσιών / φορέων,Αναφέρονται οι διατάξεις που θεσπίζουν συναρμοδιότητα Υπουργείων / υπηρεσιών / φορέων. 
,Σχετική διάταξη αξιολογούμενης ρύθμισης,Αρκεί η απλή αναφορά του αριθμού διάταξης
,Συναρμόδια Υπουργεία - Συναρμόδιες υπηρεσίες / φορείς,Αρκεί η απλή αναφορά Υπουργείων - Συναρμόδιων υπηρεσιών / φορέων
,Αντικείμενο συναρμοδιότητας,Σύντομη εξήγηση
,"32.Έκδοση κανονιστικών πράξεων και εγκυκλίων
","Αναφέρονται τα  προεδρικά διατάγματα, οι υπουργικές αποφάσεις, οι λοιπές κανονιστικές πράξεις και οι τυχόν ερμηνευτικές εγκύκλιοι που πρέπει να εκδοθούν και το εκτιμώμενο χρονοδιάγραμμα έκδοσής τους"
,Εξουσιοδοτική διάταξη,Αρκεί η απλή αναφορά του αριθμού διάταξης
,Είδος πράξης,Αρκεί η απλή αναφορά του είδους πράξης
,Αρμόδιο ή επισπεύδον Υπουργείο ή υπηρεσία,Αρκεί η απλή αναφορά του αρμόδιου ή επισπεύδοντος Υπουργείου ή υπηρεσίας 
,Αντικείμενο,Σύντομη εξήγηση
,Χρονοδιάγραμμα (ενδεικτική ή αποκλειστική προθεσμία),Απαιτείται να επισημαίνεται εάν πρόκειται για αποκλειστική ή ενδεικτική προθεσμία εφόσον προκύπτει στο σχέδιο νόμου
,"33.Ποιες διατάξεις της αξιολογούμενης ρύθμισης προβλέπουν τη σύσταση νέου νομικού προσώπου, ανώνυμης εταιρίας ή δημόσιας υπηρεσίας;",Αναφέρονται τα σχετικά άρθρα της αξιολογούμενης ρύθμισης και περιγράφονται συνοπτικά η φύση και το αντικείμενο του νέου οργάνου. 
,34.Γιατί προτείνεται η σύσταση αυτού του νέου οργάνου και δεν επαρκούν οι υφιστάμενες διοικητικές δομές για να επιτευχθεί ο στόχος της αξιολογούμενης ρύθμισης,
,35.Χρόνος έναρξης λειτουργίας του νέου οργάνου:,"Αναφέρεται ο προβλεπόμενος από τη σχετική διάταξη χρόνος έναρξης λειτουργίας του νέου οργάνου και, εάν δεν προβλέπεται, ο εκτιμώμενος χρόνος έναρξης"
,36. Έχει γίνει η σχετική οικονομοτεχνική μελέτη αναφορικά με τη σύσταση του νέου οργάνου,
,37.Επωνυμία ή ονομασία και νομική μορφή,"Αναγράφονται τα στοιχεία (επωνυμία) και η νομική μορφή του νέου οργάνου. Εάν υπάρχουν και ειδικές διατάξεις για το καθεστώς του οργάνου, απαιτείται σχετική αναφορά"
,38.Χώρος λειτουργίας του νέου οργάνου,"Αναφέρονται οι κτιριακές υποδομές στις οποίες θα λειτουργεί το νέο νομικό πρόσωπο. 
Εάν δεν έχουν προβλεφθεί, να αναγραφεί ο τρόπος που θα βρεθούν και ο χώρος προσωρινής στέγασης
"
,39.Διασφάλιση επαρκούς υλικοτεχνικού & ηλεκτρονικού εξοπλισμού,Περιγράφεται ο τρόπος με τον οποίο το νέο όργανο θα εξασφαλίσει τον αναγκαίο εξοπλισμό. 
,40.Τρόπος στελέχωσης του νέου οργάνου,"Αναγράφεται ο τρόπος με τον οποίο θα στελεχωθεί το νέο όργανο: 
ορισμός μελών διοίκησης, προσλήψεις προσωπικού, μετατάξεις και αποσπάσεις.
Σε περίπτωση που η διαδικασία στελέχωσης αποτελεί παρέκκλιση, αιτιολογείται ειδικά και εξετάζεται τυχόν συναρμοδιότητα. 
"
